mbid,verse_name,poetry_form,t_s,t_e,score_s,score_e,mizan,orchestra,lyric
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.3.2, ,3191.9939323929975,3194.220638033795,3289.0,3292.5,bṭāyḥī,/BrihiOrchestra,lā ta‘jal ‘alay
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.3.3, ,3194.220638033795,3196.555963461948,3293.0,3296.5,bṭāyḥī,/BrihiOrchestra,naghnam al-ḥumayyah
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.3.4, ,3196.555963461948,3203.4533199590514,3297.0,3307.5,bṭāyḥī,/BrihiOrchestra,‘ind al-talāq
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.4.1, ,3203.4533199590514,3208.636427930667,3309.0,3331.5,bṭāyḥī,/BrihiOrchestra,baynanā yadūr ka’s al-mudām
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6.4.2, ,3208.636427930667,3214.719136022601,3333.0,3338.5,bṭāyḥī,/BrihiOrchestra,mā thamm ‘itāb walā malām
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.1.1.1, ,204.33714890141516,217.262966627411,261.0,271.5,darŷ,/BrihiOrchestra,wa‘ashīyatin lā zilt arqub waqtahā
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.1.1.2, ,217.262966627411,240.90466562941384,273.0,295.5,darŷ,/BrihiOrchestra,samaḥat bihā al-īyām ba‘d ta‘adhdhur
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.1.2.1, ,278.1543446316057,290.928591919121,333.0,343.5,darŷ,/BrihiOrchestra,nilnā bihā kull al-muná fī rawḍatin
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.1.2.2, ,290.928591919121,315.4040236337975,345.0,367.5,darŷ,/BrihiOrchestra,tuhdī lināshiqihā shamīm al-‘anbar
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.2.1.1, ,315.4040236337975,327.0629905201282,368.5,379.5,darŷ,/BrihiOrchestra,ṣfart al-‘shī mā āibda‘ ḥusn ābhāhā
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.2.1.2, ,327.0629905201282,343.18344526255083,380.5,394.5,darŷ,/BrihiOrchestra,ksāt al-riyāḍ bḥullah
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.2.2.1, ,372.85691836599176,385.0327605431821,424.5,435.5,darŷ,/BrihiOrchestra,hwāt lilghrūb wmālt fiī smāhā
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.2.2.2, ,385.0327605431821,401.2676904863076,436.5,450.5,darŷ,/BrihiOrchestra,minhā khṭrī fī dhahlatin
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.2.3.1, ,430.6254883439672,443.61105662342874,480.5,491.5,darŷ,/BrihiOrchestra,ghaddr ṭāstī yā sāqī wāmlāhā
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.2.3.2, ,443.61105662342874,459.97206203636614,492.5,506.5,darŷ,/BrihiOrchestra,naghnam ‘shīytī natsalā
